daily_tiktok_screen_time,average_scrolls_per_session,tiktok_usage_time_of_day,max_consecutive_watch_time,video_likes_per_day,number_of_followed_accounts,frequency_of_comments_posted,videos_saved_per_week,self_control_score,boredom_level,workload_per_day,productivity_hours_lost
278,19,1,93,22,932,17,25,7,8,8,13
49,75,1,61,19,373,12,14,9,5,9,6
247,62,1,37,21,52,12,15,4,5,8,12
231,74,1,91,25,856,8,4,3,10,6,20
290,74,1,31,49,796,3,2,3,7,2,16
234,39,2,100,47,949,17,23,8,7,6,19
163,16,3,99,34,622,11,7,2,7,9,15
289,64,2,99,33,955,5,20,1,3,2,23
48,72,0,30,26,160,5,17,4,9,6,7
226,72,0,107,20,426,11,6,3,1,3,16
253,82,3,10,7,208,10,23,7,5,9,7
118,82,2,106,36,182,18,15,1,1,2,22
70,82,3,66,49,462,0,16,3,5,7,15
207,75,0,46,40,620,3,6,3,7,3,17
285,13,0,29,26,930,13,16,5,6,7,9
181,71,3,14,18,701,6,25,5,1,7,7
281,48,0,18,5,731,10,15,10,10,9,4
280,72,3,38,29,640,12,25,2,8,6,18
51,90,1,115,13,571,6,16,4,4,5,16
198,82,0,43,36,841,17,12,1,7,7,19
269,38,1,14,22,80,2,24,8,4,5,5
161,46,3,69,16,598,0,0,9,7,4,9
140,27,0,91,25,696,2,18,2,6,5,14
123,20,2,72,10,421,12,2,10,7,4,6
231,83,3,28,36,717,11,17,2,7,5,16
63,41,2,75,15,885,13,8,6,1,7,5
51,47,3,106,29,827,2,8,4,4,4,14
102,54,1,32,44,568,11,15,3,8,7,12
269,14,3,57,21,284,2,25,5,9,8,10
290,76,3,109,8,490,4,25,8,3,9,13
201,84,2,33,6,380,10,19,3,1,2,11
134,92,0,24,5,816,8,18,5,6,2,11
44,49,2,31,13,338,2,17,9,8,4,6
56,32,1,75,10,295,18,0,6,5,6,7
162,42,2,21,46,804,3,18,8,6,2,10
247,31,0,13,1,856,14,16,10,6,5,3
14,86,2,111,44,761,15,3,7,6,6,18
134,85,3,83,10,196,14,11,2,6,7,15
96,55,0,55,2,533,19,29,7,10,2,14
12,92,0,49,30,175,3,18,3,7,6,10
174,18,1,27,31,381,3,22,7,6,6,7
232,14,3,66,16,432,2,29,7,9,2,14
34,70,3,114,48,822,13,26,8,1,5,16
48,53,1,113,5,256,3,20,4,1,7,10
114,72,0,74,20,935,1,0,2,7,8,10
14,13,1,82,29,491,9,21,10,5,4,7
145,35,3,82,25,726,13,26,5,2,7,11
13,58,3,56,16,201,4,3,9,7,8,4
178,17,3,24,41,206,7,10,9,2,3,7
87,37,0,108,47,168,2,27,10,9,8,9
28,37,1,59,12,224,17,28,6,5,6,10
214,62,3,30,7,566,19,29,4,8,3,18
42,71,3,36,40,938,0,24,8,2,4,8
159,96,1,103,49,680,5,24,6,5,5,19
202,63,3,116,35,381,0,7,3,4,6,15
148,35,2,83,12,485,7,5,7,10,3,14
281,54,2,102,17,372,4,22,4,7,2,20
205,16,1,71,19,152,9,20,1,5,9,11
136,19,3,48,6,681,2,9,1,10,8,10
240,96,2,5,18,225,3,4,6,3,6,6
53,17,2,5,12,837,16,0,10,10,8,2
239,25,3,31,2,858,5,5,4,6,5,5
225,16,0,113,32,758,1,24,8,2,2,12
253,82,0,99,11,886,2,1,7,2,9,6
18,24,3,105,34,908,17,17,2,10,3,21
259,49,3,39,0,362,18,28,7,3,2,14
209,68,3,6,8,112,15,17,7,7,7,9
88,83,0,35,4,518,14,27,9,8,3,10
254,75,1,75,6,523,16,6,10,2,4,10
199,71,2,5,6,455,2,1,1,5,5,6
95,96,0,59,36,905,8,9,9,1,4,8
280,57,3,27,25,727,3,29,1,1,2,15
271,50,2,37,9,839,0,6,5,10,4,9
10,28,2,49,16,474,19,1,7,8,2,10
29,12,3,115,25,841,2,17,5,1,4,12
139,54,2,72,15,634,10,23,6,4,3,11
267,27,3,71,19,72,11,12,10,10,6,11
140,58,3,31,31,847,18,3,2,7,2,16
16,78,1,17,48,706,5,8,5,7,2,13
250,79,0,22,24,890,10,20,5,1,4,9
201,74,1,29,44,343,17,5,4,7,5,15
124,51,2,78,32,881,5,17,7,4,3,12
111,15,0,118,0,233,13,7,10,10,6,9
10,61,1,81,8,584,5,27,3,9,2,16
34,83,3,9,18,908,8,3,6,1,5,3
218,94,1,62,20,451,13,28,6,3,2,17
152,19,2,86,23,809,1,11,10,4,4,9
206,41,3,69,38,262,15,2,9,4,8,10
154,34,3,25,7,762,17,2,7,2,2,8
158,36,0,78,22,73,6,11,5,1,9,6
190,32,3,78,15,985,2,6,5,2,6,7
64,87,0,76,30,733,18,9,1,3,9,13
147,85,0,38,19,969,2,2,7,7,3,8
218,26,1,84,42,940,12,3,2,4,3,15
194,66,0,6,15,526,5,5,10,8,2,6
74,44,2,59,27,767,11,18,9,7,2,12
46,35,0,66,8,168,16,4,6,2,4,6
121,18,0,8,36,287,4,6,7,7,9,1
272,13,3,26,1,587,15,28,2,1,3,11
85,26,0,39,7,275,11,0,3,7,7,7
187,17,3,58,48,946,10,19,2,5,9,12
263,44,0,110,4,758,10,2,4,4,9,9
10,22,3,115,46,434,12,8,8,6,6,12
157,13,1,52,6,431,10,28,10,7,7,5
168,66,1,58,7,592,11,7,9,6,5,7
277,33,2,76,0,639,16,14,8,10,6,14
159,48,0,84,35,896,9,14,5,5,5,14
138,51,2,91,41,137,14,14,9,8,6,12
135,79,0,96,47,185,11,5,5,5,6,15
10,67,3,82,17,585,12,18,2,7,2,18
126,21,2,103,41,271,8,8,6,1,2,13
158,38,2,47,19,220,11,9,10,9,4,9
278,41,0,98,1,871,18,5,2,3,6,15
198,58,3,112,10,507,17,5,8,8,8,13
150,18,2,81,34,841,1,9,6,7,7,11
114,12,1,78,41,220,12,10,2,9,8,15
261,71,0,65,5,717,12,29,7,5,4,14
290,19,2,111,7,306,0,10,6,4,5,13
110,53,2,42,15,813,0,5,10,2,5,2
291,25,0,26,46,105,3,17,4,9,5,13
172,60,1,81,6,446,14,0,8,5,5,10
212,60,3,33,45,510,18,16,3,8,2,21
109,24,3,100,27,640,7,1,2,5,6,14
290,19,3,114,18,852,4,19,6,6,7,14
266,47,1,95,0,60,19,1,4,9,5,16
103,57,0,68,41,320,11,19,2,9,2,21
288,32,0,113,3,314,10,16,10,2,5,10
236,46,2,61,30,327,7,3,5,2,8,10
159,82,0,39,28,284,8,11,7,1,7,5
71,42,0,87,37,250,3,17,5,6,2,14
138,90,0,98,27,835,5,26,3,4,2,19
196,44,1,36,21,126,18,7,3,7,2,12
77,27,1,70,22,464,18,29,8,8,3,14
39,18,1,29,39,597,10,18,3,1,2,10
284,23,2,5,34,593,1,6,9,2,3,6
136,50,3,26,9,679,18,25,7,5,6,8
222,91,0,42,27,875,2,2,7,1,5,6
143,94,3,73,29,76,13,7,3,9,8,19
228,71,0,64,43,576,10,12,5,1,9,12
166,72,3,87,34,149,14,2,5,1,2,16
197,78,2,81,38,83,18,23,8,9,2,21
171,70,1,46,14,594,2,4,6,3,9,3
138,15,1,100,34,341,3,12,7,7,6,11
98,38,3,59,14,782,2,23,1,9,5,14
171,68,2,114,1,186,0,5,8,8,3,14
45,43,3,119,2,814,8,25,3,6,9,10
236,48,2,98,31,716,3,26,1,10,8,20
160,55,3,14,40,585,17,23,9,6,2,13
90,67,3,95,33,137,0,22,9,10,2,18
56,74,3,48,3,548,14,4,7,5,3,7
213,35,1,104,23,236,17,16,3,5,9,16
157,29,2,65,40,175,6,18,4,6,9,10
240,81,2,90,19,853,18,5,5,8,5,20
36,70,2,63,46,614,7,13,8,6,3,14
198,61,0,29,3,174,4,12,5,2,4,5
174,85,3,54,6,737,10,25,10,4,4,11
221,58,3,11,14,876,5,14,5,9,7,8
84,37,1,45,11,174,2,11,7,8,4,6
101,97,1,74,25,177,3,18,1,1,8,13
71,64,3,119,15,519,12,23,5,1,6,14
75,53,0,111,24,823,15,7,8,4,4,13
89,54,0,75,24,242,2,1,1,9,9,11
149,82,1,90,10,312,7,20,9,3,9,7
139,76,3,82,38,418,5,19,10,6,8,10
263,68,0,81,32,517,3,12,8,10,7,14
38,71,2,34,11,100,15,2,2,3,3,9
211,49,3,73,9,913,14,10,5,10,6,15
246,42,0,17,28,635,5,15,3,4,7,9
96,77,2,26,8,465,5,14,8,7,4,8
105,67,1,85,18,275,11,10,5,1,4,12
296,54,3,28,1,638,15,20,2,6,6,13
298,81,0,23,30,916,13,4,6,9,5,12
261,37,3,25,37,943,0,8,7,4,8,6
189,46,0,35,44,292,1,26,5,7,6,11
109,86,1,37,43,308,0,25,2,10,2,19
82,89,1,16,40,594,11,15,7,8,3,12
140,32,2,13,12,625,12,19,7,10,2,10
191,77,2,40,20,604,18,10,7,10,5,13
203,81,0,23,7,625,17,29,5,5,2,15
27,28,3,81,17,88,9,19,8,4,4,10
135,42,3,87,32,425,17,7,3,4,2,17
220,85,2,93,28,797,4,10,2,4,7,14
16,88,2,116,5,605,8,0,4,3,9,12
123,68,0,69,17,991,2,6,1,8,7,12
93,79,0,72,7,318,8,18,5,8,8,11
111,80,3,112,27,331,11,28,2,2,2,20
102,26,0,43,46,900,10,0,7,10,9,6
111,32,0,77,44,458,10,26,10,2,9,7
260,96,3,19,18,716,7,11,9,2,7,5
33,76,3,17,13,698,19,2,6,2,7,2
176,54,3,39,36,305,11,25,1,5,3,18
149,46,1,96,38,245,6,6,10,5,7,10
103,41,0,79,11,479,1,3,8,1,9,1
190,76,3,51,47,595,6,12,7,2,2,15
73,15,2,42,36,152,2,7,4,9,5,10
13,98,2,37,31,282,12,26,8,8,4,13
103,67,1,96,28,442,6,14,1,8,4,19
281,73,1,35,23,390,8,25,8,9,5,13
292,83,0,79,44,773,2,23,4,10,7,20
141,28,2,97,18,671,15,5,4,3,8,11
81,70,1,105,37,146,15,1,10,7,5,14
90,61,2,12,3,268,8,0,5,4,7,2
183,83,0,7,33,153,15,2,8,10,6,10
61,88,0,35,21,799,15,24,8,9,6,10
299,62,1,29,41,196,18,21,2,8,6,19
246,82,1,106,10,269,4,25,1,1,5,18
286,43,0,113,20,515,15,21,9,1,7,13
289,33,0,27,23,479,6,9,7,2,7,3
53,14,3,87,2,161,8,12,1,4,5,10
263,72,0,113,45,992,1,26,2,4,5,20
143,34,0,119,19,644,3,24,10,3,9,7
65,71,1,47,26,264,2,25,3,5,4,12
23,91,0,35,13,985,17,7,1,6,3,13
187,81,2,33,27,466,11,1,3,2,8,10
110,72,1,117,44,66,16,14,10,3,2,16
189,29,3,98,23,873,4,21,8,4,8,9
266,57,2,104,44,142,2,0,10,3,6,10
277,19,3,79,24,617,7,1,3,8,3,16
46,65,1,71,6,729,16,16,5,9,8,11
213,71,2,26,19,700,19,13,2,6,3,15
268,37,0,95,0,866,10,2,1,8,8,14
164,93,2,108,45,869,4,28,10,8,9,16
247,38,2,7,30,155,17,0,6,6,9,6
109,35,2,73,27,556,16,16,6,1,9,8
282,26,2,99,9,862,7,16,7,8,4,15
122,55,3,110,32,646,7,22,4,7,4,20
119,55,0,29,40,152,2,26,7,2,4,7
152,81,0,83,49,917,6,28,5,1,2,16
176,51,0,91,27,261,4,29,1,1,9,12
269,56,3,7,32,967,18,17,2,9,8,15
154,31,1,39,18,413,7,9,3,2,7,5
239,57,0,51,13,951,12,9,4,9,2,16
277,41,3,108,37,620,17,22,6,7,6,18
41,63,2,17,25,359,14,11,3,9,5,13
228,88,0,86,40,113,16,7,3,10,8,20
186,92,2,56,4,155,4,16,6,7,8,10
113,68,0,56,34,380,11,1,2,8,9,11
245,26,3,43,40,806,7,2,9,5,6,8
102,78,0,96,30,534,17,5,5,3,5,16
210,47,2,54,13,142,18,22,9,8,8,12
240,15,3,91,26,767,9,25,2,5,2,20
264,18,1,18,6,200,14,24,4,6,7,8
94,75,0,62,18,623,17,2,4,5,5,13
44,29,3,55,30,188,4,9,10,8,2,10
126,12,3,88,15,714,2,18,2,3,7,8
185,70,1,96,25,284,4,1,9,1,6,9
285,35,1,107,22,553,6,14,5,1,2,16
94,70,2,63,38,137,5,16,5,6,7,11
126,10,1,48,20,809,14,10,8,1,9,3
213,39,2,119,38,957,5,1,3,4,2,20
155,28,1,81,3,110,6,20,10,3,3,7
224,67,3,100,4,665,3,8,1,4,8,13
114,69,1,75,2,616,10,0,5,4,4,9
78,99,1,85,30,371,18,26,10,4,7,12
264,32,3,13,3,323,16,2,2,4,2,11
240,62,3,60,47,566,11,11,3,2,7,16
212,96,3,11,49,974,14,24,9,9,2,17
257,28,3,5,40,154,11,2,7,9,5,10
258,48,0,74,31,250,19,22,9,8,2,18
153,37,2,22,7,314,12,16,9,9,2,9
292,12,3,80,14,589,8,19,8,3,8,8
250,28,2,95,35,898,9,8,6,1,5,14
238,33,2,62,34,907,3,8,10,2,7,4
40,65,2,77,27,713,10,20,5,2,2,16
118,95,0,118,34,513,1,19,10,7,5,14
36,17,3,108,5,307,15,27,7,8,7,14
169,90,1,43,3,476,4,25,10,1,4,6
26,87,3,84,49,577,14,16,6,9,3,20
276,60,3,90,28,595,9,29,4,5,9,17
138,69,2,78,2,83,12,24,5,3,3,13
229,91,2,71,8,814,0,23,8,5,6,11
91,70,2,62,33,347,19,28,10,5,5,12
58,95,1,58,1,205,0,14,10,4,7,3
50,80,1,76,23,494,6,22,1,10,6,18
29,36,1,78,14,230,18,23,2,2,4,13
46,46,0,75,42,343,13,15,8,7,6,13
48,60,0,96,36,710,8,25,1,3,4,18
118,90,3,13,44,773,4,1,7,8,2,11
73,44,3,48,41,96,10,22,1,1,8,12
184,54,3,5,26,467,2,19,5,9,8,8
288,12,0,21,21,656,14,27,7,5,7,7
41,75,1,29,33,327,2,9,5,2,8,5
218,12,1,85,30,801,6,24,10,9,2,15
28,94,2,67,9,939,14,16,1,2,8,10
115,46,1,77,43,426,8,2,10,2,2,9
215,20,2,32,22,866,13,5,9,6,5,6
256,10,1,30,38,501,1,4,6,2,9,2
176,28,3,42,47,241,14,14,6,2,4,11
98,94,0,47,44,618,1,22,8,2,2,11
20,61,0,85,13,534,7,26,1,3,6,12
58,37,1,42,8,888,5,28,7,6,9,5
70,91,3,36,5,57,10,12,2,5,8,7
180,83,2,53,37,331,16,3,10,10,9,13
152,46,2,118,38,561,18,19,5,9,3,24
216,28,2,21,28,736,4,4,3,4,5,9
210,87,0,109,47,732,6,22,7,4,4,22
14,69,1,15,24,854,2,4,10,8,3,5
220,10,0,89,16,818,19,29,2,3,8,14
38,21,2,96,46,598,0,29,2,9,6,14
199,52,1,78,16,688,6,29,7,9,8,13
197,64,2,15,45,599,11,5,1,5,7,11
264,52,1,29,30,885,5,2,9,6,9,3
159,98,0,57,1,640,17,16,9,2,4,8
22,80,0,104,24,761,8,24,5,2,2,16
166,39,3,26,29,51,13,20,9,5,7,8
89,17,0,14,46,972,5,7,1,6,7,7
282,96,2,79,30,959,7,6,9,1,6,11
157,21,1,27,31,473,0,12,4,1,9,3
215,73,3,108,8,83,11,14,9,7,6,16
123,98,3,39,30,285,7,15,1,10,8,17
15,82,1,8,6,62,0,1,3,9,8,3
287,41,0,107,41,660,2,28,4,9,9,19
241,26,3,70,6,574,0,7,9,3,4,6
146,49,3,119,44,106,19,4,9,9,9,16
169,53,3,41,12,873,0,22,5,7,5,11
298,13,2,68,38,290,1,14,1,10,7,17
214,66,1,12,7,925,19,18,10,6,3,10
167,47,1,32,34,280,11,24,3,9,9,13
115,97,3,28,6,489,11,10,2,10,7,14
91,75,2,67,43,995,7,12,4,9,7,16
279,58,2,28,48,149,4,3,10,9,3,13
58,67,2,81,37,626,3,9,9,3,5,9
215,18,1,16,18,632,17,13,4,3,5,8
227,97,3,21,46,194,13,10,3,2,6,13
173,33,3,102,6,121,3,20,3,4,8,11
288,88,0,110,5,732,13,3,9,8,6,14
240,16,0,42,15,765,9,12,3,1,8,4
208,65,1,80,31,735,11,4,1,2,3,16
223,65,1,117,32,200,2,25,5,4,9,14
293,29,1,52,32,149,17,20,8,7,8,11
285,45,0,22,22,111,8,26,5,5,7,6
194,88,2,40,4,918,8,7,8,8,7,7
219,54,2,113,15,558,0,0,3,8,7,15
130,49,1,74,31,721,13,2,7,2,9,6
225,53,1,102,25,275,11,16,10,2,8,10
106,32,0,18,1,220,16,14,8,4,9,1
128,78,3,63,8,137,6,7,9,6,5,6
291,91,1,38,23,309,9,18,9,9,7,10
115,18,1,99,32,123,9,27,9,8,6,13
151,51,2,75,45,251,0,6,4,10,9,11
277,95,1,98,12,823,0,10,2,4,2,19
176,43,2,78,49,686,14,26,3,4,6,18
169,68,1,102,37,381,12,22,5,6,7,19
240,74,0,115,44,959,4,18,1,5,6,22
23,92,0,99,36,909,9,15,9,7,6,12
202,76,0,81,6,256,7,9,10,7,2,12
164,83,2,95,42,201,15,0,6,6,7,16
110,18,2,69,15,279,5,6,4,10,9,7
69,37,0,59,42,193,11,18,7,7,5,11
52,20,1,7,35,721,5,8,8,6,8,0
202,25,0,43,0,909,3,8,3,1,6,2
118,32,0,65,20,122,6,20,2,3,5,11
102,44,2,104,8,656,16,17,8,8,7,14
225,84,1,73,23,136,2,10,9,3,7,9
172,33,3,115,42,996,4,17,4,1,5,16
243,44,2,40,5,643,6,14,10,3,2,7
176,30,0,54,26,411,0,27,3,7,6,12
157,87,2,55,10,576,7,16,1,9,9,14
37,36,2,6,31,893,6,7,4,5,8,4
268,54,1,28,35,84,9,21,5,2,5,10
95,10,1,34,23,607,11,1,7,1,3,4
117,36,3,8,45,207,18,10,3,1,7,7
126,54,3,75,35,632,19,16,7,6,9,13
24,46,0,75,35,508,2,3,2,6,3,10
220,35,1,77,14,729,5,6,10,10,2,13
40,59,2,88,1,750,19,13,7,8,7,13
291,47,3,114,36,653,19,13,4,5,8,20
194,20,1,103,44,62,10,1,10,1,9,6
75,84,2,55,45,563,9,8,8,1,2,11
72,78,0,63,39,90,15,6,6,9,6,14
237,14,1,89,46,318,18,15,2,3,6,19
110,89,2,97,8,367,12,3,2,10,7,19
148,23,2,84,13,474,8,5,1,3,9,10
128,42,0,107,11,689,6,26,5,7,2,16
66,61,2,69,1,374,8,11,7,7,5,8
140,33,3,85,19,379,5,1,5,10,3,15
46,14,1,65,4,660,11,0,7,6,6,4
120,51,1,17,43,890,0,14,10,4,6,5
162,55,2,87,15,133,15,6,8,2,3,10
259,40,2,42,37,288,2,18,8,5,2,11
251,60,3,110,20,668,6,7,1,4,4,19
217,44,2,27,40,603,1,20,8,1,7,5
179,26,3,9,26,891,15,22,6,1,8,4
266,70,1,35,2,807,16,20,4,6,5,13
288,85,3,13,11,630,1,15,4,3,4,10
122,45,0,66,9,213,16,6,5,9,5,12
184,48,1,67,18,925,17,16,4,10,6,15
98,80,1,15,5,320,1,23,5,3,4,6
144,23,2,53,26,832,7,8,10,2,3,7
215,65,2,49,3,96,4,13,4,1,5,10
82,89,1,116,16,454,4,4,5,8,8,12
268,40,3,57,13,487,19,12,8,2,3,10
157,94,1,19,21,833,19,1,2,7,8,13
234,60,0,95,15,143,1,29,7,9,5,15
114,72,1,17,16,143,0,2,4,5,4,5
53,95,1,111,15,664,7,24,3,9,3,22
35,35,0,61,26,208,3,4,4,9,7,9
270,86,1,33,44,431,19,28,2,6,5,21
68,85,2,42,38,617,14,8,5,2,3,14
70,93,3,85,24,811,5,5,2,10,6,16
79,23,3,86,20,104,4,0,6,7,4,9
280,50,2,33,4,170,9,13,1,5,7,11
266,97,0,114,43,964,7,26,1,9,2,28
134,22,0,41,39,451,9,21,9,7,7,6
28,83,1,79,46,199,1,14,1,2,7,12
128,17,0,28,36,596,5,7,9,6,3,5
75,40,1,100,31,372,1,24,7,4,6,11
254,74,3,119,3,267,5,26,7,1,3,17
66,44,0,16,44,490,10,14,3,8,6,10
53,53,1,60,4,597,6,18,3,4,6,7
21,90,1,81,28,675,12,13,8,6,8,11
245,66,2,24,27,982,7,10,1,8,7,14
33,95,0,24,14,881,2,1,6,3,3,4
266,40,2,106,16,222,6,12,2,8,4,18
293,38,0,109,18,708,16,12,10,3,6,10
260,68,1,53,20,781,15,10,5,8,4,15
103,21,0,49,46,488,14,23,1,8,7,14
31,97,2,33,10,974,6,13,10,5,8,4
166,14,3,117,5,222,8,8,6,10,7,14
98,80,1,119,43,181,1,5,4,2,8,13
211,91,2,71,47,768,4,1,4,10,6,18
206,35,3,100,41,87,11,6,9,4,7,12
54,25,1,7,12,810,15,21,9,2,6,0
88,80,2,73,10,390,10,23,2,7,6,16
48,28,3,9,5,327,13,29,1,9,3,10
293,88,1,7,7,686,2,4,8,10,8,5
164,14,2,45,27,740,9,14,2,4,8,9
158,82,0,41,11,184,13,8,10,5,4,6
61,94,3,7,46,397,8,6,8,8,6,10
260,31,2,24,47,587,13,17,1,5,7,15
156,34,0,117,41,382,17,23,5,3,4,17
267,11,2,17,38,728,18,18,10,10,2,14
282,57,2,85,2,859,2,14,8,1,4,10
134,86,0,107,0,906,6,26,7,3,4,15
213,23,3,88,2,608,0,7,2,3,6,11
265,75,1,27,20,642,4,15,8,9,6,12
140,61,2,38,1,864,10,24,6,2,3,8
30,27,2,91,10,517,9,2,10,8,4,9
87,20,3,42,13,442,17,22,4,2,9,7
60,49,2,23,12,969,12,24,7,5,8,5
275,24,0,59,12,907,12,2,1,5,9,9
125,46,3,65,11,925,10,4,4,4,4,11
64,64,3,119,42,268,13,10,9,4,9,12
60,66,3,72,13,300,14,20,1,3,9,13
282,27,1,49,6,280,18,7,5,5,7,8
263,86,2,40,8,906,8,19,3,1,8,10
70,27,2,8,27,989,18,13,3,2,3,9
234,38,1,84,19,815,11,20,4,1,9,11
112,96,0,61,20,207,8,7,5,7,3,14
57,51,3,73,27,263,12,4,10,1,8,4
234,12,1,74,34,272,14,2,5,4,8,10
242,31,2,91,32,738,1,26,2,9,5,19
79,68,0,107,17,179,4,3,4,1,6,9
56,82,0,97,34,652,15,28,6,7,8,17
237,57,0,101,3,54,8,21,1,9,2,19
19,54,3,54,16,973,13,15,6,1,2,10
194,95,0,106,45,507,15,2,1,6,8,21
89,48,0,98,27,875,13,0,7,4,6,10
22,77,3,24,47,117,15,0,3,10,6,13
93,40,0,81,44,778,5,26,5,5,6,12
95,23,1,17,49,471,6,29,3,6,4,12
166,80,0,46,37,615,17,4,3,9,2,18
153,19,0,26,20,964,18,6,5,7,7,7
72,22,1,5,1,969,5,24,5,10,8,3
52,72,0,74,8,410,14,28,10,4,9,5
167,94,3,67,0,633,16,28,1,9,4,21
194,77,2,70,25,889,7,2,5,9,7,14
295,77,2,87,7,845,6,15,8,4,8,11
33,71,3,13,30,693,9,2,2,6,3,12
214,31,0,17,41,301,17,5,5,1,7,5
233,55,2,75,39,610,5,9,3,8,3,19
110,88,0,108,38,376,9,8,6,1,4,15
213,78,0,7,44,501,16,24,4,3,7,12
17,91,0,107,29,929,7,18,1,3,9,14
181,12,3,101,29,604,4,23,3,8,4,19
217,62,1,9,36,389,19,15,4,3,4,11
105,95,0,95,39,639,3,12,8,9,9,14
171,63,2,15,46,436,9,25,3,8,9,12
105,50,2,56,15,800,16,21,4,2,6,11
154,86,0,90,43,239,14,6,7,3,2,15
267,72,0,11,38,901,4,4,4,8,4,12
111,34,2,80,24,238,3,6,8,2,6,5
186,93,3,113,35,534,19,2,7,1,9,17
119,87,2,38,8,270,12,3,1,9,7,13
207,18,1,9,35,380,2,2,1,1,4,6
138,21,1,89,25,292,9,28,7,3,8,10
146,17,0,56,25,956,7,22,7,8,8,8
36,63,3,39,31,264,4,13,2,4,5,10
146,29,0,91,38,838,16,0,2,2,4,16
173,69,1,109,47,825,11,10,7,2,4,17
140,77,1,24,9,468,6,1,10,1,3,2
160,59,0,77,21,233,18,19,8,3,4,12
255,67,3,119,16,223,2,0,3,4,4,16
119,37,2,6,39,311,11,27,7,1,8,4
82,91,0,96,21,357,12,11,9,7,8,13
295,84,0,5,36,494,13,27,4,9,3,17
284,63,1,21,31,431,9,13,3,9,8,10
76,10,3,106,42,845,6,25,4,10,3,20
59,76,1,40,39,753,1,19,8,5,4,8
12,77,0,114,45,573,14,7,10,10,4,18
235,61,3,35,37,404,14,3,1,10,4,21
75,22,1,96,39,997,8,21,6,2,5,13
164,66,2,51,25,287,16,17,5,6,2,16
120,57,3,15,41,246,7,13,10,6,7,8
265,28,1,93,28,61,2,6,9,6,3,12
283,82,3,30,44,150,12,4,4,8,9,16
164,43,3,72,5,805,2,10,2,7,3,14
148,72,1,117,27,390,15,24,10,3,5,14
176,33,2,119,36,637,19,12,4,4,3,20
28,50,3,16,5,276,2,20,1,6,3,9
232,96,1,99,41,838,19,28,3,10,3,28
66,89,3,113,18,666,12,6,7,1,7,13
142,50,0,76,5,150,18,8,1,4,5,12
214,67,0,86,39,151,1,22,2,1,6,16
128,55,3,12,37,895,1,8,5,4,8,4
262,26,3,118,25,292,3,6,5,8,8,14
94,17,2,101,10,105,1,25,5,3,7,8
194,17,0,61,16,201,15,18,8,8,7,7
234,43,3,35,27,502,12,19,8,8,4,12
157,73,1,79,19,194,15,19,4,10,9,17
289,21,1,104,5,688,16,16,3,5,7,14
236,54,1,115,16,813,16,12,1,6,3,23
295,91,1,116,47,830,12,27,9,9,6,23
293,45,1,109,5,87,0,14,10,6,5,10
190,41,1,94,49,58,0,20,1,6,3,18
118,67,3,12,22,921,5,25,5,2,8,5
144,39,3,118,44,607,4,15,4,6,7,15
299,30,0,35,2,753,16,18,1,2,4,12
112,37,1,9,21,767,18,18,7,1,8,3
210,19,2,54,47,776,9,10,9,2,4,8
126,91,2,63,16,325,11,17,5,5,3,14
38,12,2,27,23,91,0,13,1,2,2,5
36,30,0,80,44,793,16,23,9,9,2,15
22,40,1,84,11,489,3,1,2,2,9,4
51,76,0,20,21,353,4,12,10,5,7,2
233,93,1,58,33,877,19,20,8,10,4,19
30,70,0,6,41,467,18,13,1,7,5,12
145,46,0,93,44,448,8,5,7,3,4,13
230,12,0,38,36,365,7,7,10,9,4,8
154,85,1,30,34,772,0,16,6,2,7,7
19,72,3,102,2,59,13,1,10,10,7,9
234,12,1,89,46,842,3,18,8,5,9,11
150,14,1,19,28,815,7,17,5,10,7,8
115,84,3,25,4,305,10,13,4,6,8,8
277,79,1,46,45,815,7,7,8,8,9,12
203,81,3,68,36,421,4,20,7,10,6,16
137,48,2,78,28,386,14,11,6,10,3,16
222,55,0,69,35,195,7,13,2,3,2,16
160,91,3,109,10,538,3,22,8,9,8,14
189,30,1,22,11,239,12,18,9,5,4,7
35,41,3,61,1,803,14,10,5,2,6,8
24,12,2,103,32,654,19,4,10,9,2,14
31,21,1,78,19,486,6,6,9,4,5,4
74,57,3,25,40,873,5,19,8,7,6,8
260,57,0,52,43,214,12,5,5,5,6,12
30,33,3,77,16,435,19,11,2,2,4,14
242,58,1,63,4,160,13,22,5,6,6,12
25,92,0,83,11,872,16,8,10,3,3,8
281,96,2,14,12,786,14,25,7,8,9,11
214,16,0,84,13,850,13,3,2,6,4,13
169,97,3,5,26,427,7,13,1,9,7,12
50,93,1,46,17,292,19,13,2,1,4,11
117,39,0,43,29,457,4,13,1,10,6,12
134,58,2,45,5,192,1,4,5,9,7,6
161,58,0,117,1,453,13,8,9,1,6,9
22,10,2,112,32,99,5,20,3,1,9,9
212,16,1,65,12,98,10,29,8,7,4,12
88,26,2,66,26,835,6,25,4,1,2,12
51,51,2,52,33,636,7,7,8,9,8,7
178,40,3,114,21,724,7,11,6,8,4,16
258,22,3,32,34,776,7,22,9,2,4,7
130,20,1,114,15,735,7,2,5,9,7,10
281,37,1,112,1,70,4,7,3,5,7,13
218,17,1,54,14,816,9,3,7,3,2,7
167,24,2,46,43,512,16,6,7,4,8,8
130,91,0,105,24,637,18,20,4,4,3,20
236,77,3,62,48,677,15,0,6,9,2,20
33,63,0,113,27,216,6,20,3,10,8,15
